"alpha0","beta0","rho","clus","rr","trt_mod","out_mod","unbal","beta4","true.rd","dgm","prev","rate","correlation","design","true.effect","NCluster","ClusterSize"
-1.499,-2.35,0,"50 clusters of 20 - unbl",1,"none","random slope",0.2,0,0,193,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",1,"none","random slope",0.2,0,0,194,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",1,"none","random slope",0.2,0,0,195,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",1,"none","random slope",0.2,0,0,196,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",1,"none","random slope",0.2,0,0,197,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",1,"none","random slope",0.2,0,0,198,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",1,"none","random slope",0.2,0,0,199,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",1,"none","random slope",0.2,0,0,200,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",1,"none","random slope",0.2,0,0,201,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",1,"none","random slope",0.2,0,0,202,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-0.63,0,"100 clusters of 10 - unbl",1,"none","random slope",0.2,0,0,203,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",1,"none","random slope",0.2,0,0,204,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",1,"none","random slope",0.2,0,0,205,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",1,"none","random slope",0.2,0,0,206,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",1,"none","random slope",0.2,0,0,207,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",1,"none","random slope",0.2,0,0,208,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-2.35,0,"50 clusters of 20 - unbl",0.8,"none","random slope",0.2,-0.3147107448397,-0.02,209,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",0.8,"none","random slope",0.2,-0.3147107448397,-0.02,210,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",0.8,"none","random slope",0.2,-0.41,-0.06,211,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",0.8,"none","random slope",0.2,-0.41,-0.06,212,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"none","random slope",0.2,-0.3147107448397,-0.02,213,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"none","random slope",0.2,-0.3147107448397,-0.02,214,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"none","random slope",0.2,-0.41,-0.06,215,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"none","random slope",0.2,-0.41,-0.06,216,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",0.8,"none","random slope",0.2,-0.3147107448397,-0.02,217,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",0.8,"none","random slope",0.2,-0.3147107448397,-0.02,218,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0,"100 clusters of 10 - unbl",0.8,"none","random slope",0.2,-0.41,-0.06,219,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",0.8,"none","random slope",0.2,-0.41,-0.06,220,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"none","random slope",0.2,-0.3147107448397,-0.02,221,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"none","random slope",0.2,-0.3147107448397,-0.02,222,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"none","random slope",0.2,-0.41,-0.06,223,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"none","random slope",0.2,-0.41,-0.06,224,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0,"50 clusters of 20 - unbl",1,"random intercept","random slope",0.2,0,0,225,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",1,"random intercept","random slope",0.2,0,0,226,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",1,"random intercept","random slope",0.2,0,0,227,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",1,"random intercept","random slope",0.2,0,0,228,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",1,"random intercept","random slope",0.2,0,0,229,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",1,"random intercept","random slope",0.2,0,0,230,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",1,"random intercept","random slope",0.2,0,0,231,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",1,"random intercept","random slope",0.2,0,0,232,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",1,"random intercept","random slope",0.2,0,0,233,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",1,"random intercept","random slope",0.2,0,0,234,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-0.63,0,"100 clusters of 10 - unbl",1,"random intercept","random slope",0.2,0,0,235,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",1,"random intercept","random slope",0.2,0,0,236,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",1,"random intercept","random slope",0.2,0,0,237,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",1,"random intercept","random slope",0.2,0,0,238,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",1,"random intercept","random slope",0.2,0,0,239,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",1,"random intercept","random slope",0.2,0,0,240,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-2.35,0,"50 clusters of 20 - unbl",0.8,"random intercept","random slope",0.2,-0.3147107448397,-0.02,241,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",0.8,"random intercept","random slope",0.2,-0.3147107448397,-0.02,242,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",0.8,"random intercept","random slope",0.2,-0.41,-0.06,243,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",0.8,"random intercept","random slope",0.2,-0.41,-0.06,244,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"random intercept","random slope",0.2,-0.3147107448397,-0.02,245,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"random intercept","random slope",0.2,-0.3147107448397,-0.02,246,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"random intercept","random slope",0.2,-0.41,-0.06,247,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"random intercept","random slope",0.2,-0.41,-0.06,248,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",0.8,"random intercept","random slope",0.2,-0.3147107448397,-0.02,249,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",0.8,"random intercept","random slope",0.2,-0.3147107448397,-0.02,250,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0,"100 clusters of 10 - unbl",0.8,"random intercept","random slope",0.2,-0.41,-0.06,251,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",0.8,"random intercept","random slope",0.2,-0.41,-0.06,252,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"random intercept","random slope",0.2,-0.3147107448397,-0.02,253,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"random intercept","random slope",0.2,-0.3147107448397,-0.02,254,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"random intercept","random slope",0.2,-0.41,-0.06,255,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"random intercept","random slope",0.2,-0.41,-0.06,256,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0,"50 clusters of 20 - unbl",1,"random slope","random slope",0.2,0,0,257,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",1,"random slope","random slope",0.2,0,0,258,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",1,"random slope","random slope",0.2,0,0,259,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",1,"random slope","random slope",0.2,0,0,260,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",1,"random slope","random slope",0.2,0,0,261,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",1,"random slope","random slope",0.2,0,0,262,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",1,"random slope","random slope",0.2,0,0,263,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",1,"random slope","random slope",0.2,0,0,264,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","no effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",1,"random slope","random slope",0.2,0,0,265,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",1,"random slope","random slope",0.2,0,0,266,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-0.63,0,"100 clusters of 10 - unbl",1,"random slope","random slope",0.2,0,0,267,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",1,"random slope","random slope",0.2,0,0,268,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",1,"random slope","random slope",0.2,0,0,269,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",1,"random slope","random slope",0.2,0,0,270,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",1,"random slope","random slope",0.2,0,0,271,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","no effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",1,"random slope","random slope",0.2,0,0,272,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","no effect",100,10
-1.499,-2.35,0,"50 clusters of 20 - unbl",0.8,"random slope","random slope",0.2,-0.3147107448397,-0.02,273,"trt prev 20%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0,"50 clusters of 20 - unbl",0.8,"random slope","random slope",0.2,-0.3147107448397,-0.02,274,"trt prev 50%","out control 10%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0,"50 clusters of 20 - unbl",0.8,"random slope","random slope",0.2,-0.41,-0.06,275,"trt prev 20%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0,"50 clusters of 20 - unbl",0.8,"random slope","random slope",0.2,-0.41,-0.06,276,"trt prev 50%","out control 30%","no corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"random slope","random slope",0.2,-0.3147107448397,-0.02,277,"trt prev 20%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-2.35,0.5,"50 clusters of 20 - unbl",0.8,"random slope","random slope",0.2,-0.3147107448397,-0.02,278,"trt prev 50%","out control 10%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"random slope","random slope",0.2,-0.41,-0.06,279,"trt prev 20%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
0.15,-0.63,0.5,"50 clusters of 20 - unbl",0.8,"random slope","random slope",0.2,-0.41,-0.06,280,"trt prev 50%","out control 30%","corr","50 clusters of 20 - unbl","moderate effect",50,20
-1.499,-2.35,0,"100 clusters of 10 - unbl",0.8,"random slope","random slope",0.2,-0.3147107448397,-0.02,281,"trt prev 20%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0,"100 clusters of 10 - unbl",0.8,"random slope","random slope",0.2,-0.3147107448397,-0.02,282,"trt prev 50%","out control 10%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0,"100 clusters of 10 - unbl",0.8,"random slope","random slope",0.2,-0.41,-0.06,283,"trt prev 20%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0,"100 clusters of 10 - unbl",0.8,"random slope","random slope",0.2,-0.41,-0.06,284,"trt prev 50%","out control 30%","no corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"random slope","random slope",0.2,-0.3147107448397,-0.02,285,"trt prev 20%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-2.35,0.5,"100 clusters of 10 - unbl",0.8,"random slope","random slope",0.2,-0.3147107448397,-0.02,286,"trt prev 50%","out control 10%","corr","100 clusters of 10 - unbl","moderate effect",100,10
-1.499,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"random slope","random slope",0.2,-0.41,-0.06,287,"trt prev 20%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
0.15,-0.63,0.5,"100 clusters of 10 - unbl",0.8,"random slope","random slope",0.2,-0.41,-0.06,288,"trt prev 50%","out control 30%","corr","100 clusters of 10 - unbl","moderate effect",100,10
